algo,feature_set,curve,x,y
decision_tree,reduced,pr,1.0,0.08073362672621241
decision_tree,reduced,pr,0.9935553168635876,0.08199991135144719
decision_tree,reduced,pr,0.9906015037593985,0.08218048965225333
decision_tree,reduced,pr,0.9900644468313641,0.08241316107112522
decision_tree,reduced,pr,0.9873791621911923,0.08259209344115004
decision_tree,reduced,pr,0.9860365198711063,0.08281274666786946
decision_tree,reduced,pr,0.9822771213748658,0.08292716102559453
decision_tree,reduced,pr,0.9801288936627283,0.08305836841506428
decision_tree,reduced,pr,0.9774436090225563,0.08337341670675004
decision_tree,reduced,pr,0.9755639097744361,0.08360565195379022
decision_tree,reduced,pr,0.9734156820622986,0.08427684653476857
decision_tree,reduced,pr,0.9715359828141783,0.08456037021455616
decision_tree,reduced,pr,0.9688506981740065,0.08467495892982868
decision_tree,reduced,pr,0.9669709989258861,0.08487719794465658
decision_tree,reduced,pr,0.9632116004296455,0.08502417749122973
decision_tree,reduced,pr,0.9586466165413534,0.08517440473350193
decision_tree,reduced,pr,0.9562298603651987,0.08543051123959408
decision_tree,reduced,pr,0.9530075187969925,0.08569565847298015
decision_tree,reduced,pr,0.9497851772287863,0.08593712036542106
decision_tree,reduced,pr,0.9473684210526315,0.08622122293367222
decision_tree,reduced,pr,0.9417293233082706,0.08638569352415203
decision_tree,reduced,pr,0.939312567132116,0.08674734649340343
decision_tree,reduced,pr,0.9366272824919442,0.08702811946405849
decision_tree,reduced,pr,0.9325993555316864,0.08697938841443563
decision_tree,reduced,pr,0.9304511278195489,0.08740288568257491
decision_tree,reduced,pr,0.9283029001074113,0.08760770400405474
decision_tree,reduced,pr,0.9261546723952739,0.08801837437795075
decision_tree,reduced,pr,0.924812030075188,0.08843921729751938
decision_tree,reduced,pr,0.9218582169709989,0.08880898178807947
decision_tree,reduced,pr,0.9164876476906552,0.08890567610513428
decision_tree,reduced,pr,0.9135338345864662,0.08899468961728621
decision_tree,reduced,pr,0.908968850698174,0.08929513559143189
decision_tree,reduced,pr,0.9062835660580022,0.0894347722394467
decision_tree,reduced,pr,0.9033297529538131,0.08995133429595166
decision_tree,reduced,pr,0.9001074113856069,0.09011721690504355
decision_tree,reduced,pr,0.8963480128893663,0.09032362809827904
decision_tree,reduced,pr,0.8947368421052632,0.09053363764808173
decision_tree,reduced,pr,0.8909774436090225,0.0907698199923401
decision_tree,reduced,pr,0.8872180451127819,0.09116997792494481
decision_tree,reduced,pr,0.8856068743286788,0.09149927865941627
decision_tree,reduced,pr,0.8826530612244898,0.09181051337914083
decision_tree,reduced,pr,0.8805048335123523,0.09207311936652346
decision_tree,reduced,pr,0.8775510204081632,0.09229552643470403
decision_tree,reduced,pr,0.8740601503759399,0.09244270256453949
decision_tree,reduced,pr,0.8716433941997852,0.09267665952890793
decision_tree,reduced,pr,0.8673469387755102,0.0927441352973268
decision_tree,reduced,pr,0.8635875402792696,0.0930905722638724
